,Location,TimeFrame,Adoption_number,Foster_entry,code,abortion_ban
0,Alabama,2000,6,409,AL,1.0
1,Alabama,2001,7,407,AL,1.0
2,Alabama,2002,3,462,AL,1.0
3,Alabama,2003,5,429,AL,1.0
4,Alabama,2004,8,514,AL,1.0
5,Alabama,2005,1,584,AL,1.0
6,Alabama,2006,9,612,AL,1.0
7,Alabama,2007,7,731,AL,1.0
8,Alabama,2008,9,656,AL,1.0
9,Alabama,2013,8,517,AL,1.0
10,Alabama,2018,11,768,AL,1.0
11,Alabama,2009,8,552,AL,1.0
12,Alabama,2010,8,565,AL,1.0
13,Alabama,2015,11,582,AL,1.0
14,Alabama,2020,21,725,AL,1.0
15,Alabama,2011,8,555,AL,1.0
16,Alabama,2012,12,520,AL,1.0
17,Alabama,2014,13,541,AL,1.0
18,Alabama,2016,10,653,AL,1.0
19,Alabama,2017,15,787,AL,1.0
20,Alabama,2019,11,739,AL,1.0
21,Alaska,2000,9,159,AK,5.0
22,Alaska,2001,1,140,AK,5.0
23,Alaska,2002,1,163,AK,5.0
24,Alaska,2003,6,134,AK,5.0
25,Alaska,2004,4,119,AK,5.0
26,Alaska,2005,1,154,AK,5.0
27,Alaska,2006,2,177,AK,5.0
28,Alaska,2007,3,163,AK,5.0
29,Alaska,2008,3,190,AK,5.0
30,Alaska,2013,4,194,AK,5.0
31,Alaska,2018,1,255,AK,5.0
32,Alaska,2009,3,179,AK,5.0
33,Alaska,2010,7,167,AK,5.0
34,Alaska,2015,5,274,AK,5.0
35,Alaska,2020,2,245,AK,5.0
36,Alaska,2011,3,173,AK,5.0
37,Alaska,2012,2,169,AK,5.0
38,Alaska,2014,5,195,AK,5.0
39,Alaska,2016,1,254,AK,5.0
40,Alaska,2017,1,246,AK,5.0
41,Alaska,2019,2,252,AK,5.0
42,Arizona,2000,6,651,AZ,1.0
43,Arizona,2001,8,585,AZ,1.0
44,Arizona,2002,18,666,AZ,1.0
45,Arizona,2003,22,1042,AZ,1.0
46,Arizona,2004,8,1216,AZ,1.0
47,Arizona,2005,4,1275,AZ,1.0
48,Arizona,2006,19,1342,AZ,1.0
49,Arizona,2007,29,1354,AZ,1.0
50,Arizona,2008,21,1370,AZ,1.0
51,Arizona,2013,66,1918,AZ,1.0
52,Arizona,2018,109,1731,AZ,1.0
53,Arizona,2009,18,1292,AZ,1.0
54,Arizona,2010,26,1341,AZ,1.0
55,Arizona,2015,61,2341,AZ,1.0
56,Arizona,2020,80,1977,AZ,1.0
57,Arizona,2011,36,1416,AZ,1.0
58,Arizona,2012,47,1837,AZ,1.0
59,Arizona,2014,67,2143,AZ,1.0
60,Arizona,2016,54,2214,AZ,1.0
61,Arizona,2017,108,1939,AZ,1.0
62,Arizona,2019,105,1866,AZ,1.0
63,Arkansas,2000,11,344,AR,1.0
64,Arkansas,2001,6,319,AR,1.0
65,Arkansas,2002,9,357,AR,1.0
66,Arkansas,2003,11,421,AR,1.0
67,Arkansas,2004,7,392,AR,1.0
68,Arkansas,2005,6,463,AR,1.0
69,Arkansas,2006,11,527,AR,1.0
70,Arkansas,2007,12,576,AR,1.0
71,Arkansas,2008,12,607,AR,1.0
72,Arkansas,2013,28,655,AR,1.0
73,Arkansas,2018,31,608,AR,1.0
74,Arkansas,2009,21,634,AR,1.0
75,Arkansas,2010,26,672,AR,1.0
76,Arkansas,2015,18,684,AR,1.0
77,Arkansas,2020,26,597,AR,1.0
78,Arkansas,2011,24,590,AR,1.0
79,Arkansas,2012,17,601,AR,1.0
80,Arkansas,2014,32,590,AR,1.0
81,Arkansas,2016,28,778,AR,1.0
82,Arkansas,2017,29,777,AR,1.0
83,Arkansas,2019,29,572,AR,1.0
84,California,2000,225,6374,CA,5.0
85,California,2001,189,6234,CA,5.0
86,California,2002,215,6685,CA,5.0
87,California,2003,128,7044,CA,5.0
88,California,2004,162,6222,CA,5.0
89,California,2005,161,6984,CA,5.0
90,California,2006,152,6921,CA,5.0
91,California,2007,177,7137,CA,5.0
92,California,2008,172,5875,CA,5.0
93,California,2013,182,5878,CA,5.0
94,California,2018,166,5717,CA,5.0
95,California,2009,169,5579,CA,5.0
96,California,2010,187,5366,CA,5.0
97,California,2015,207,6073,CA,5.0
98,California,2020,112,5344,CA,5.0
99,California,2011,170,5384,CA,5.0
100,California,2012,169,5454,CA,5.0
101,California,2014,155,6131,CA,5.0
102,California,2016,204,6244,CA,5.0
103,California,2017,179,5924,CA,5.0
104,California,2019,188,5776,CA,5.0
105,Colorado,2000,21,606,CO,5.0
106,Colorado,2001,25,600,CO,5.0
107,Colorado,2002,19,773,CO,5.0
108,Colorado,2003,31,840,CO,5.0
109,Colorado,2004,32,871,CO,5.0
110,Colorado,2005,30,902,CO,5.0
111,Colorado,2006,31,889,CO,5.0
112,Colorado,2007,33,874,CO,5.0
113,Colorado,2008,34,881,CO,5.0
114,Colorado,2013,13,631,CO,5.0
115,Colorado,2018,24,808,CO,5.0
116,Colorado,2009,40,859,CO,5.0
117,Colorado,2010,35,759,CO,5.0
118,Colorado,2015,7,697,CO,5.0
119,Colorado,2020,7,706,CO,5.0
120,Colorado,2011,28,696,CO,5.0
121,Colorado,2012,17,647,CO,5.0
122,Colorado,2014,16,659,CO,5.0
123,Colorado,2016,14,769,CO,5.0
124,Colorado,2017,20,826,CO,5.0
125,Colorado,2019,17,742,CO,5.0
126,Connecticut,2000,3,373,CT,5.0
127,Connecticut,2001,3,349,CT,5.0
128,Connecticut,2002,3,367,CT,5.0
129,Connecticut,2003,4,430,CT,5.0
130,Connecticut,2004,4,435,CT,5.0
131,Connecticut,2005,72,425,CT,5.0
132,Connecticut,2006,100,555,CT,5.0
133,Connecticut,2007,81,474,CT,5.0
134,Connecticut,2008,77,521,CT,5.0
135,Connecticut,2013,49,323,CT,5.0
136,Connecticut,2018,21,467,CT,5.0
137,Connecticut,2009,70,457,CT,5.0
138,Connecticut,2010,78,464,CT,5.0
139,Connecticut,2015,51,375,CT,5.0
140,Connecticut,2020,30,405,CT,5.0
141,Connecticut,2011,70,449,CT,5.0
142,Connecticut,2012,62,385,CT,5.0
143,Connecticut,2014,48,392,CT,5.0
144,Connecticut,2016,38,480,CT,5.0
145,Connecticut,2017,33,449,CT,5.0
146,Connecticut,2019,53,466,CT,5.0
147,Delaware,2000,1,95,DE,5.0
148,Delaware,2001,2,88,DE,5.0
149,Delaware,2002,1,78,DE,5.0
150,Delaware,2003,1,76,DE,5.0
151,Delaware,2004,2,95,DE,5.0
152,Delaware,2005,4,93,DE,5.0
153,Delaware,2006,1,115,DE,5.0
154,Delaware,2007,5,108,DE,5.0
155,Delaware,2008,1,94,DE,5.0
156,Delaware,2013,3,65,DE,5.0
157,Delaware,2018,4,76,DE,5.0
158,Delaware,2009,1,84,DE,5.0
159,Delaware,2010,2,78,DE,5.0
160,Delaware,2015,1,71,DE,5.0
161,Delaware,2020,5,68,DE,5.0
162,Delaware,2011,3,104,DE,5.0
163,Delaware,2012,3,91,DE,5.0
164,Delaware,2014,1,54,DE,5.0
165,Delaware,2016,4,103,DE,5.0
166,Delaware,2017,4,103,DE,5.0
167,Delaware,2019,4,59,DE,5.0
168,District of Columbia,2000,5,95,DC,5.0
169,District of Columbia,2001,7,104,DC,5.0
170,District of Columbia,2002,1,95,DC,5.0
171,District of Columbia,2003,1,88,DC,5.0
