,state,year,abortionstotal,birthstotal,pregnancyratetotal,birthratetotal,abortionratetotal,abortionratiototal,miscarriagestotal,pregnanciestotal
0,AL,1988,20100,60745,100.5,64.3,21.3,330.9,14160,95000
1,AL,1992,17720,62260,97.8,64.6,18.4,284.6,14220,94200
2,AL,1996,14940,60488,90.9,61.8,15.3,247.0,13590,89020
3,AL,2000,13060,63299,93.1,65.2,13.5,206.3,13970,90320
4,AL,2005,10840,60453,88.8,63.6,11.4,179.3,13170,84470
5,AL,2006,10980,63232,92.0,66.1,11.5,173.7,13740,87960
6,AL,2007,11130,64804,93.9,67.6,11.6,171.7,14070,90010
7,AL,2008,11020,64546,93.2,67.2,11.5,170.7,14010,89580
8,AL,2009,10530,62475,90.0,64.9,10.9,168.5,13550,86550
9,AL,2010,10030,60050,86.5,62.5,10.4,167.1,13010,83100
10,AL,2011,9600,59354,85.3,61.9,10.0,161.8,12830,81790
11,AL,2012,8920,58448,83.3,60.9,9.3,152.6,12580,79950
12,AL,2013,8230,58167,82.0,60.5,8.6,141.5,12460,78850
13,AL,2014,8310,59422,83.8,61.9,8.7,139.9,12720,80450
14,AL,2015,8150,59657,84.2,62.4,8.5,136.5,12750,80550
15,AL,2016,7920,59151,83.7,62.1,8.3,133.9,12620,79690
16,AL,2017,7660,58941,83.3,62.0,8.1,129.9,12550,79150
17,AK,1988,2700,11232,120.4,82.2,19.8,240.4,2520,16450
18,AK,1992,2800,11726,119.1,81.5,19.5,238.8,2630,17150
19,AK,1996,2310,10037,100.8,69.3,16.0,230.1,2240,14590
20,AK,2000,1900,9974,99.6,70.7,13.5,190.5,2180,14060
21,AK,2005,2130,10459,105.2,73.9,15.0,203.7,2300,14890
22,AK,2006,2060,10996,108.6,77.2,14.5,187.8,2410,15470
23,AK,2007,2000,11052,109.1,78.0,14.1,181.0,2410,15460
24,AK,2008,1960,11442,112.9,81.3,13.9,171.6,2480,15890
25,AK,2009,2040,11324,111.1,79.5,14.3,180.1,2470,15830
26,AK,2010,2120,11471,111.8,79.7,14.7,184.6,2510,16090
27,AK,2011,2030,11456,110.0,78.8,14.0,177.3,2490,15980
28,AK,2012,1890,11187,105.8,76.3,12.9,168.8,2430,15500
